Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,Position
60,Evan Turner,2010,1,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,9,11.06,3.27,1
61,James Anderson,2010,1,76.75,77.75,80.5,104,35.5,139.5,30,134,208,7.9,14,11.86,3.19,2
62,Craig Brackins,2010,1,80.5,81.75,84,109,35,144,26,135,229,7.9,6,11.65,3.39,4
63,Trevor Booker,2010,1,78.25,79.5,81.75,106,36,142,31,137,236,7.3,22,11.15,3.1,4
64,Dominique Jones,2010,1,75.25,77,81.25,101,32.5,133.5,26,127,216,5.9,19,10.88,3.31,2
65,Jordan Crawford,2010,1,75,76.5,79,101,34.5,135.5,31.5,132.5,198,4.9,7,11.03,3.37,2
66,Daniel Orton,2010,1,80.75,81.5,88.25,110.5,30.5,141,24,134.5,269,13.8,13,12.32,3.39,5
67,Derrick Favors,2010,1,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,14,11.74,3.25,4
68,Lazar Hayward,2010,1,76.5,77.75,84.75,102,36,138,31,133,226,7.5,15,10.87,3.31,3
70,Hassan Whiteside,2010,1,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,12,11.83,3.54,5
71,Armon Johnson,2010,1,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,18,11.25,3.19,1
72,Terrico White,2010,1,75.75,77,81,101,40,141,31,132,203,3.7,10,11.38,3.15,2
74,Andy Rautins,2010,1,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,11.27,3.49,2
75,Wesley Johnson,2010,1,78.25,79.25,85,106,37,143,32,138,206,4.6,16,11.43,3.14,3
76,Lance Stephenson,2010,1,76.5,77.75,82.5,103,33,136,27,130,227,9.3,10,11.39,3.38,2
77,Jarvis Varnado,2010,1,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,3,11.61,3.37,3
78,Devin Ebanks,2010,1,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,6,11.69,3.44,3
80,Tiny Gallon,2010,1,80.5,81.5,88.5,109.5,28.5,138,23.5,133,302,15.1,14,13.44,3.7,4
81,Ryan Richards,2010,1,82.5,83.75,85.5,110,28.5,138.5,25,135,230,8,4,11.33,3.37,4
83,Solomon Alabi,2010,1,83.5,84.75,89,113,26,139,22.5,135.5,237,5,10,13.2,3.68,1
84,Willie Warren,2010,1,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,10,11.21,3.5,4
85,Derrick Caracter,2010,1,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,22,12.78,3.61,4
87,Ekpe Udoh,2010,1,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,10,11.15,3.29,4
88,Greg Monroe,2010,1,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,15,12.1,3.35,4
89,Al-Farouq Aminu,2010,1,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,13,11.29,3.3,3
90,Gordon Hayward,2010,1,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,10,11.73,3.22,3
91,Artsiom Parakhouski,2010,0,82.25,83.75,85,109.5,26.5,136,25.5,135,268,6,16,12.07,3.33,3
92,Charles Garcia,2010,0,80.25,81.25,85.75,107.5,30.5,138,24.5,132,232,7,2,11.65,3.23,3
97,Sylven Landesberg,2010,0,76.75,78.25,81,100.5,32,132.5,28,128.5,210,11.6,8,11.59,3.36,1
98,Jimmer Fredette,2011,1,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,14,10.42,3.21,2
99,Klay Thompson,2011,1,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,5,10.99,3.24,2
100,Alec Burks,2011,1,77,78,82,103.5,36,139.5,29,132.5,193,5.1,5,10.96,3.17,3
103,Kawhi Leonard,2011,1,78,79,87,106,32,138,25.5,131.5,227,5.4,3,11.45,3.15,4
104,Nikola Vucevic,2011,1,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,8,12.02,3.27,2
105,Iman Shumpert,2011,1,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,18,11.1,3.18,3
106,Chris Singleton,2011,1,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,15,11.33,3.09,3
107,Tobias Harris,2011,1,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,12,10.96,3.17,3
