Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,Position
339,Terry Rozier,2015,1,72.75,74.25,80.25,98.5,38,136.5,33,131.5,190,5.6,7,10.88,3.15,1
340,Rashad Vaughn,2015,1,75.75,77,79,101,34,135,28,129,199,6.2,5,11.41,3.21,2
341,Sam Dekker,2015,1,79.75,81,83.5,106,34.5,140.5,25.5,131.5,219,7.5,5,10.71,3.28,3
344,Delon Wright,2015,1,76.25,77.5,79.5,101.5,31,132.5,29.5,131,181,6.6,4,11.21,3.29,2
345,Justin Anderson,2015,1,77.25,78.25,83.75,101,43,144,38,139,231,5,12,11.1,3.22,3
346,Bobby Portis,2015,1,81.5,82.5,86,108.5,31.5,140,25,133.5,246,8.9,5,11.71,3.56,4
347,Rondae Hollis-Jefferson,2015,1,77.5,79,86,104,38,142,32,136,211,5,13,10.51,3.12,3
348,Tyus Jones,2015,1,72.25,74,77,97,32.5,129.5,26.5,123.5,185,6.5,2,11.89,3.32,1
349,Jarell Martin,2015,1,80,81.25,81.75,106.5,34.5,141,28.5,135,239,10.1,19,11.12,3.27,4
350,Larry Nance,2015,1,79.5,80.5,85.5,108,37.5,145.5,29,137,227,6.4,10,10.89,3.25,4
351,R.J. Hunter,2015,1,76.5,78,82.5,104,33.5,137.5,27.5,131.5,185,6,1,10.97,3.26,2
355,Jordan Mickey,2015,1,79,80.25,87.25,106,37.5,143.5,33,139,238,7.2,9,11.8,3.28,3
356,Anthony Brown,2015,1,77.25,80.5,83.25,104.5,34.5,139,27.5,132,211,6.1,4,11.06,3.18,4
358,Richaun Holmes,2015,1,80.25,81.5,85.5,108,36,144,32.5,140.5,243,8.8,15,11.37,3.32,4
359,Pat Connaughton,2015,1,76,77.25,80.75,96,44,140,37.5,133.5,215,10.2,13,10.74,3.2,1
360,Olivier Hanlan,2015,1,75.25,76.25,78.5,100,34,134,28,128,186,4.3,19,11.36,3.25,1
361,Joseph Young,2015,1,72.75,74,77,94.5,40.5,135,34.5,129,182,4.1,9,10.74,3.25,2
363,Marcus Thornton,2015,1,73.75,74.75,79.75,97.5,43,140.5,34.5,132,177,5.3,3,10.96,3.02,3
364,Norman Powell,2015,1,75,76.25,82.75,102.5,40.5,143,32.5,135,215,6.4,5,10.76,3.2,5
365,Dakari Johnson,2015,1,83,83.75,86,112,25,137,22.5,134.5,265,14.9,4,11.5,3.62,5
366,Aaron White,2015,1,79.75,80.75,83.5,106.5,35,141.5,30,136.5,220,8,7,11.62,3.38,4
367,Tyler Harvey,2015,1,74.75,76,77.5,98.5,28.5,127,26,124.5,181,9.2,1,10.52,3.44,1
368,Branden Dawson,2015,1,77.5,78.75,83,105,34.5,139.5,28.5,133.5,230,5.8,12,12.37,3.2,3
369,J.P. Tokoto,2015,1,77.25,78.25,82,100.5,40,140.5,34.5,135,196,4.1,12,11.01,3.27,3
374,Alan Williams,2015,0,79.25,80.25,85.75,106.5,28.5,135,25.5,132,261,12,8,12.07,3.5,5
375,Brandon Ashley,2015,0,79.25,80.5,87.25,105,35.5,140.5,31.5,136.5,228,8.8,9,11.3,3.58,4
376,Chasson Randle,2015,0,72.75,73.5,79,96.5,39.5,136,33.5,130,179,4.5,6,10.61,3.2,1
377,Chris Walker,2015,0,80.75,81.25,86.75,108,37,145,30.5,138.5,208,5.1,6,11.32,3.35,4
380,Corey Hawkins,2015,0,72.75,73.75,80,99.5,34,133.5,28.5,128,192,5.5,9,10.97,3.51,2
381,Dez Wells,2015,0,75,76,81.5,100.5,39,139.5,31.5,132,209,8.1,15,10.75,3.2,2
382,George De Paula,2015,0,76.5,77.5,84,104,34,138,28,132,197,6.7,6,11.38,3.45,1
384,Keifer Sykes,2015,0,70.5,71.75,74,93,43,136,34,127,167,5,8,10.5,3.13,1
385,Michael Frazier,2015,0,75.75,76.25,80,101.5,35,136.5,24,125.5,199,7.4,10,10.8,3.32,2
387,Mouhammadou Jaiteh,2015,0,81.5,82.5,87.25,110.5,31.5,142,24.5,135,247,9.9,7,12.05,3.38,5
388,Quinn Cook,2015,0,72.25,74,76,96.5,31,127.5,24.5,121,179,6.7,14,11.28,3.38,1
390,Ryan Boatright,2015,0,70,71,72.5,92.5,41,133.5,32,124.5,170,6.6,10,10.79,3.26,1
391,T.J. McConnell,2015,0,72.5,74,74,96.5,31.5,128,26,122.5,188,7.3,7,10.84,3.3,1
392,TaShawn Thomas,2015,0,79.25,80,86,108,30.5,138.5,26,134,240,12.4,9,11.69,3.47,4
393,Terran Petteway,2015,0,76.75,78,83.25,104.5,31,135.5,25,129.5,209,4.9,15,10.96,3.32,3
394,Treveon Graham,2015,0,76.75,77.75,82.5,103,31.5,134.5,28.5,131.5,219,5.5,11,11.6,3.3,3
395,Vince Hunter,2015,0,78.75,79.5,83,104.5,37.5,142,33.5,138,208,4.6,13,11.33,3.26,4
